user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Brown_K.bin.4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rudaea;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rudaea;s__	ANI	classification based on placement in class-level tree	GCA_018241165.1, s__Rudaea sp018241165, 95.0, 78.15, 0.361; GCA_018969845.1, s__Rudaea sp018969845, 95.0, 77.95, 0.378; GCF_005503555.1, s__Rudaea sp005503555, 95.0, 77.88, 0.31; GCA_018240565.1, s__Rudaea sp018240565, 95.0, 77.83, 0.302; GCF_000378125.1, s__Rudaea cellulosilytica, 95.0, 77.82, 0.283; GCA_018240465.1, s__Rudaea sp018240465, 95.0, 77.74, 0.263; GCA_018240505.1, s__Rudaea sp018240505, 95.0, 77.58, 0.262; GCA_005877675.1, s__Rudaea sp005877675, 95.0, 77.58, 0.245; GCA_018240485.1, s__Rudaea sp018240485, 95.0, 77.44, 0.218; GCA_018240545.1, s__Rudaea sp018240545, 95.0, 77.36, 0.308; GCA_018240765.1, s__Rudaea sp018240765, 95.0, 77.35, 0.355	92.89	11	0.9089	N/A
Brown_K.bin.7	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Palsa-504;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Palsa-504;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003168295.1, s__Palsa-504 sp003168295, 95.0, 82.28, 0.553; GCA_003161205.1, s__Palsa-504 sp003161205, 95.0, 81.83, 0.413; GCA_003140115.1, s__Palsa-504 sp003140115, 95.0, 80.32, 0.468; GCA_019246795.1, s__Palsa-504 sp019246795, 95.0, 79.39, 0.298	47.82	11	0.9553	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brown_K.bin.8	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	N/A	N/A	N/A	N/A	N/A	GCA_002863225.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp002863225	84.15	0.793	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_001673405.1, s__Mycobacterium sp001673405, 95.0, 83.72, 0.791; GCF_010727945.1, s__Mycobacterium cookii, 95.0, 82.65, 0.763; GCA_019236925.1, s__Mycobacterium sp019236925, 95.0, 80.59, 0.588; GCF_002101735.1, s__Mycobacterium kyorinense, 95.0, 80.34, 0.559; GCF_003402475.1, s__Mycobacterium sp003402475, 95.0, 80.18, 0.591; GCF_002101595.1, s__Mycobacterium celatum, 95.0, 80.02, 0.572; GCF_002102185.1, s__Mycobacterium fragae, 95.0, 79.99, 0.56; GCF_010728725.1, s__Mycobacterium branderi, 95.0, 79.94, 0.57; GCF_010730745.1, s__Mycobacterium heidelbergense, 95.0, 79.89, 0.52; GCF_001667885.1, s__Mycobacterium scrofulaceum_C, 95.0, 79.69, 0.529; GCF_001667275.1, s__Mycobacterium sp001667275, 95.0, 79.69, 0.532; GCF_001673535.1, s__Mycobacterium sp001673535, 95.0, 79.65, 0.546; GCF_900157375.1, s__Mycobacterium rhizamassiliense, 95.0, 79.65, 0.551; GCF_002101815.1, s__Mycobacterium paraense, 95.0, 79.65, 0.568; GCF_001672915.1, s__Mycobacterium sp001672915, 95.0, 79.64, 0.539; GCF_000689255.1, s__Mycobacterium triplex, 95.0, 79.64, 0.522; GCF_001672815.1, s__Mycobacterium sp001672815, 95.0, 79.59, 0.524; GCF_000455205.1, s__Mycobacterium sp000455205, 95.0, 79.59, 0.551; GCF_001667735.1, s__Mycobacterium sp001667735, 95.0, 79.58, 0.507; GCF_002086305.1, s__Mycobacterium malmoense_B, 95.0, 79.57, 0.534; GCF_900078675.2, s__Mycobacterium interjectum, 95.0, 79.57, 0.53; GCF_001667185.1, s__Mycobacterium sp001667185, 95.0, 79.57, 0.551; GCF_001667015.1, s__Mycobacterium sp001667015, 95.0, 79.56, 0.541; GCA_002102225.1, s__Mycobacterium interjectum_B, 95.0, 79.56, 0.542; GCF_001672775.1, s__Mycobacterium kyorinense_A, 95.0, 79.52, 0.496; GCF_001907675.1, s__Mycobacterium paraffinicum, 95.0, 79.52, 0.526; GCF_001665295.1, s__Mycobacterium sp001665295, 95.0, 79.51, 0.56; GCF_010730575.1, s__Mycobacterium parmense, 95.0, 79.51, 0.514; GCF_002086635.1, s__Mycobacterium alsense, 95.0, 79.5, 0.541; GCF_001667775.1, s__Mycobacterium sp001667775, 95.0, 79.48, 0.476; GCF_007714205.1, s__Mycobacterium helveticum, 95.0, 79.48, 0.479; GCF_001954195.1, s__Mycobacterium sp001954195, 95.0, 79.48, 0.492; GCF_001053185.1, s__Mycobacterium bohemicum, 95.0, 79.47, 0.534; GCF_001666835.1, s__Mycobacterium sp001666835, 95.0, 79.46, 0.513; GCF_002101785.1, s__Mycobacterium palustre, 95.0, 79.45, 0.533; GCF_001668725.1, s__Mycobacterium sp001668725, 95.0, 79.45, 0.542; GCF_001954275.1, s__Mycobacterium sp001954275, 95.0, 79.41, 0.493; GCF_900157385.1, s__Mycobacterium terramassiliense, 95.0, 79.41, 0.55; GCF_001667035.1, s__Mycobacterium sp001667035, 95.0, 79.38, 0.54; GCF_010730355.1, s__Mycobacterium florentinum, 95.0, 79.38, 0.539; GCF_900176255.2, s__Mycobacterium ahvazicum, 95.0, 79.37, 0.51; GCF_001665605.1, s__Mycobacterium sp001665605, 95.0, 79.36, 0.527; GCF_002102255.1, s__Mycobacterium nebraskense, 95.0, 79.35, 0.507; GCF_002356315.1, s__Mycobacterium shigaense, 95.0, 79.35, 0.498; GCA_004354905.1, s__Mycobacterium eburneum, 95.0, 79.34, 0.528; GCF_900157365.1, s__Mycobacterium numidiamassiliense, 95.0, 79.33, 0.53; GCF_001667075.1, s__Mycobacterium sp001667075, 95.0, 79.31, 0.523; GCF_010730195.1, s__Mycobacterium conspicuum, 95.0, 79.29, 0.542; GCF_902652685.1, s__Mycobacterium sp902652685, 95.0, 79.28, 0.533; GCF_010729105.1, s__Mycobacterium saskatchewanense, 95.0, 79.17, 0.526; GCF_001665235.1, s__Mycobacterium sp001665235, 95.0, 79.17, 0.515; GCF_015689175.1, s__Mycobacterium kubicae, 95.0, 79.11, 0.458; GCA_002101905.1, s__Mycobacterium shimoidei, 95.0, 79.1, 0.496; GCF_001667585.1, s__Mycobacterium sp001667585, 95.0, 79.09, 0.508; GCF_010731635.1, s__Mycobacterium noviomagense, 95.0, 79.08, 0.476; GCF_002086155.1, s__Mycobacterium angelicum, 95.0, 79.06, 0.479; GCF_001417955.2, s__Mycobacterium gordonae_B, 95.0, 79.05, 0.486; GCF_003614435.1, s__Mycobacterium paragordonae, 95.0, 79.05, 0.507; GCA_003987775.1, s__Mycobacterium sp003987775, 95.0, 79.04, 0.491; GCF_003112775.1, s__Mycobacterium montefiorense, 95.0, 79.03, 0.497; GCF_001667115.1, s__Mycobacterium sp001667115, 95.0, 79.01, 0.454; GCF_009936235.1, s__Mycobacterium xenopi, 95.0, 78.98, 0.452; GCF_001673155.1, s__Mycobacterium sp001673155, 95.0, 78.97, 0.436; GCF_900566055.1, s__Mycobacterium innocens, 95.0, 78.95, 0.432; GCF_010731535.1, s__Mycobacterium lacus, 95.0, 78.95, 0.427; GCF_010730055.1, s__Mycobacterium shinjukuense, 95.0, 78.92, 0.385; GCF_001665395.1, s__Mycobacterium sp001665395, 95.0, 78.92, 0.452; GCF_002102175.1, s__Mycobacterium gastri, 95.0, 78.89, 0.435; GCF_002705925.1, s__Mycobacterium ostraviense, 95.0, 78.88, 0.434; GCF_002116635.1, s__Mycobacterium szulgai, 95.0, 78.85, 0.452; GCF_002086285.1, s__Mycobacterium kumamotonense, 95.0, 78.85, 0.405; GCF_016592155.1, s__Mycobacterium heckeshornense, 95.0, 78.85, 0.441; GCF_002102265.1, s__Mycobacterium longobardum, 95.0, 78.83, 0.395; GCA_008709575.1, s__Mycobacterium sp008709575, 95.0, 78.83, 0.378; GCA_019247635.1, s__Mycobacterium sp019247635, 95.0, 78.81, 0.431; GCF_001673365.1, s__Mycobacterium asiaticum_A, 95.0, 78.77, 0.44; GCA_019247615.1, s__Mycobacterium sp019247615, 95.0, 78.66, 0.407; GCF_000157895.3, s__Mycobacterium kansasii, 95.0, 78.64, 0.444; GCF_002086675.1, s__Mycobacterium persicum, 95.0, 78.62, 0.425; GCF_010723575.1, s__Mycobacterium bourgelatii, 95.0, 78.61, 0.447; GCA_003165155.1, s__Mycobacterium sp003165155, 95.0, 78.61, 0.437; GCF_013466425.1, s__Mycobacterium vicinigordonae, 95.0, 78.6, 0.45; GCA_019246375.1, s__Mycobacterium sp019246375, 95.0, 78.59, 0.326; GCF_900232995.1, s__Mycobacterium simulans, 95.0, 78.58, 0.4; GCA_011334635.1, s__Mycobacterium sp011334635, 95.0, 78.56, 0.361; GCF_900566075.1, s__Mycobacterium pseudokansasii, 95.0, 78.56, 0.432; GCF_900566085.1, s__Mycobacterium attenuatum, 95.0, 78.48, 0.422; GCF_002086275.1, s__Mycobacterium intermedium, 95.0, 78.48, 0.464; GCF_002101845.1, s__Mycobacterium riyadhense, 95.0, 78.45, 0.421; GCF_000340435.2, s__Mycobacterium haemophilum, 95.0, 78.33, 0.33; GCF_002104675.1, s__Mycobacterium decipiens, 95.0, 78.32, 0.413; GCF_003391395.1, s__Mycobacterium marinum, 95.0, 78.3, 0.392; GCF_000195955.2, s__Mycobacterium tuberculosis, 95.0, 78.19, 0.344; GCF_900292015.1, s__Mycobacterium basiliense, 95.0, 78.02, 0.349; GCF_018361265.1, s__Mycobacterium sp018361265, 95.0, 78.01, 0.307; GCF_010723305.1, s__Mycobacterium botniense, 95.0, 77.94, 0.346; GCF_008370645.1, s__Mycobacterium simiae_A, 95.0, 77.92, 0.336; GCF_018278905.1, s__Mycobacterium spongiae, 95.0, 77.71, 0.314	69.02	11	0.99377	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brown_M.bin.5	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903642295.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__CAHJWO01 sp903642295	78.14	0.294	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	73.85	11	0.88588	N/A
Brown_M.bin.6	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	N/A	N/A	N/A	N/A	N/A	GCF_010729665.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium madagascariense	90.27	0.872	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_008329535.1, s__Mycobacterium sp008329535, 95.0, 83.26, 0.646; GCF_001426545.1, s__Mycobacterium sp001426545, 95.0, 83.14, 0.605; GCF_002043095.1, s__Mycobacterium sp002043095, 95.0, 82.59, 0.646; GCA_016462545.1, s__Mycobacterium sp016462545, 95.0, 82.58, 0.646; GCF_006439015.1, s__Mycobacterium hodleri_A, 95.0, 82.39, 0.605; GCF_000620625.1, s__Mycobacterium sp000620625, 95.0, 81.68, 0.569; GCF_008329645.1, s__Mycobacterium grossiae, 95.0, 81.57, 0.615; GCF_010731735.1, s__Mycobacterium sediminis, 95.0, 81.56, 0.585; GCF_014202335.1, s__Mycobacterium sp014202335, 95.0, 81.42, 0.626; GCF_010731815.2, s__Mycobacterium arabiense, 95.0, 81.41, 0.6; GCF_004570325.1, s__Mycobacterium sp004570325, 95.0, 81.23, 0.544; GCF_008329605.1, s__Mycobacterium sp008329605, 95.0, 81.18, 0.569; GCF_001044255.1, s__Mycobacterium chubuense, 95.8643, 81.02, 0.518; GCA_000762985.1, s__Mycobacterium rufum_A, 95.0, 80.88, 0.528; GCF_018326285.1, s__Mycobacterium sp018326285, 95.0, 80.87, 0.421; GCF_004363795.1, s__Mycobacterium sp004363795, 95.0, 80.8, 0.415; GCF_010731115.1, s__Mycobacterium phocaicum, 95.0, 80.8, 0.41; GCF_001044235.1, s__Mycobacterium chlorophenolicum, 95.8643, 80.8, 0.554; GCF_000878195.1, s__Mycobacterium llatzerense, 95.0, 80.73, 0.426; GCF_900108565.1, s__Mycobacterium rutilum, 95.0, 80.73, 0.508; GCF_000613185.1, s__Mycobacterium cosmeticum, 95.0, 80.7, 0.554; GCF_002838065.1, s__Mycobacterium sp002838065, 95.0, 80.7, 0.436; GCF_005670685.2, s__Mycobacterium mucogenicum_B, 95.0, 80.69, 0.431; GCF_001457595.1, s__Mycobacterium smegmatis, 95.0, 80.62, 0.508; GCF_001905655.1, s__Mycobacterium sp001905655, 95.0, 80.59, 0.421; GCF_001665685.1, s__Mycobacterium sp001665685, 95.0, 80.59, 0.456; GCF_900078665.2, s__Mycobacterium houstonense, 95.0, 80.56, 0.467; GCF_010729305.1, s__Mycobacterium psychrotolerans, 95.0, 80.55, 0.564; GCF_001672895.1, s__Mycobacterium sp001672895, 95.0, 80.5, 0.405; GCF_016313185.1, s__Mycobacterium sp016313185, 95.0, 80.47, 0.523; GCA_016197365.1, s__Mycobacterium cosmeticum_A, 95.0, 80.46, 0.513; GCF_001428895.1, s__Mycobacterium sp001428895, 95.0, 80.42, 0.477; GCF_900078775.1, s__Mycobacterium aurum_A, 95.0, 80.38, 0.492; GCF_007096635.1, s__Mycobacterium sp007096635, 95.0, 80.37, 0.482; GCF_011758805.1, s__Mycobacterium fluoranthenivorans, 95.0, 80.34, 0.462; GCF_014218295.1, s__Mycobacterium litorale_B, 95.0, 80.34, 0.528; GCF_001545925.1, s__Mycobacterium sp001545925, 95.0, 80.34, 0.472; GCF_001187505.1, s__Mycobacterium goodii_B, 95.0, 80.34, 0.508; GCF_017352375.1, s__Mycobacterium sp017352375, 95.0, 80.33, 0.513; GCF_010731575.1, s__Mycobacterium monacense, 95.0, 80.33, 0.569; GCA_011620645.1, s__Mycobacterium sp011620645, 95.0, 80.32, 0.338; GCF_002101965.1, s__Mycobacterium wolinskyi, 95.0, 80.31, 0.482; GCF_001245615.1, s__Mycobacterium neworleansense, 95.0, 80.3, 0.467; GCF_001570425.1, s__Mycobacterium brisbanense, 95.0, 80.3, 0.497; GCF_001500065.1, s__Mycobacterium sp001500065, 95.0, 80.27, 0.41; GCF_001499965.1, s__Mycobacterium sp001499965, 95.0, 80.27, 0.518; GCF_001953975.1, s__Mycobacterium sp001953975, 95.0, 80.26, 0.405; GCF_009729095.1, s__Mycobacterium sp009729095, 95.0, 80.26, 0.41; GCF_001552715.1, s__Mycobacterium vaccae, 95.0, 80.24, 0.523; GCF_010731695.1, s__Mycobacterium litorale, 95.0, 80.23, 0.554; GCF_009729075.1, s__Mycobacterium sp009729075, 95.0, 80.22, 0.441; GCF_002157835.1, s__Mycobacterium dioxanotrophicus, 95.0, 80.22, 0.477; GCF_002101555.1, s__Mycobacterium canariasense, 95.0, 80.21, 0.518; GCF_001722355.1, s__Mycobacterium holsaticum, 95.0, 80.2, 0.431; GCF_001644575.1, s__Mycobacterium sp001644575, 95.0, 80.18, 0.441; GCF_000266905.1, s__Mycobacterium chubuense_A, 95.0, 80.17, 0.569; GCF_002101705.1, s__Mycobacterium iranicum, 95.0, 80.16, 0.477; GCF_010730955.1, s__Mycobacterium aubagnense, 95.0, 80.15, 0.415; GCF_900637195.1, s__Mycobacterium aurum, 95.0, 80.15, 0.513; GCF_001499995.1, s__Mycobacterium sp001499995, 95.0, 80.14, 0.518; GCF_001044245.1, s__Mycobacterium obuense, 95.0, 80.12, 0.482; GCF_000317305.3, s__Mycobacterium neoaurum_A, 95.0, 80.11, 0.395; GCF_000612725.1, s__Mycobacterium austroafricanum, 95.0, 80.1, 0.523; GCF_001954135.1, s__Mycobacterium sp001954135, 95.0, 80.09, 0.446; GCF_012223425.1, s__Mycobacterium frederiksbergense, 95.0, 80.09, 0.482; GCF_001942045.1, s__Mycobacterium porcinum_A, 95.0, 80.08, 0.467; GCF_014190915.1, s__Mycobacterium iranicum_B, 95.0, 80.08, 0.544; GCF_002086835.1, s__Mycobacterium porcinum, 95.0, 80.06, 0.487; GCF_002086485.1, s__Mycobacterium aquaticum, 95.0, 80.05, 0.523; GCF_008329585.1, s__Mycobacterium sp008329585, 95.0, 80.05, 0.497; GCF_014873705.1, s__Mycobacterium sp014873705, 95.0, 80.01, 0.487; GCF_002086115.1, s__Mycobacterium bacteremicum, 95.0, 79.97, 0.508; GCF_000382405.1, s__Mycobacterium sp000382405, 95.0, 79.94, 0.313; GCF_001500125.1, s__Mycobacterium sp001500125, 95.0, 79.94, 0.544; GCF_002798385.1, s__Mycobacterium goodii, 95.0, 79.92, 0.487; GCF_010727475.1, s__Mycobacterium mageritense, 95.0, 79.92, 0.513; GCF_003284965.1, s__Mycobacterium sp003284965, 95.0, 79.91, 0.385; GCF_001907655.1, s__Mycobacterium diernhoferi, 95.0, 79.87, 0.497; GCF_011694515.1, s__Mycobacterium sp011694515, 95.0, 79.84, 0.456; GCF_010726085.1, s__Mycobacterium moriokaense, 95.0, 79.8, 0.462; GCF_000230895.2, s__Mycobacterium rhodesiae_A, 95.0, 79.78, 0.431; GCF_001665575.1, s__Mycobacterium sp001665575, 95.0, 79.78, 0.482; GCF_002086795.1, s__Mycobacterium tusciae, 95.0, 79.73, 0.41; GCA_018268465.1, s__Mycobacterium sp018268465, 95.0, 79.71, 0.421; GCF_004014805.1, s__Mycobacterium elephantis, 95.0, 79.7, 0.477; GCF_001499855.1, s__Mycobacterium sp001499855, 95.0, 79.7, 0.477; GCF_014874045.1, s__Mycobacterium sp014874045, 95.0, 79.7, 0.497; GCF_010731295.1, s__Mycobacterium boenickei, 95.0, 79.66, 0.518; GCF_019050325.1, s__Mycobacterium fortunisiensis, 95.0, 79.61, 0.436; GCF_001667505.1, s__Mycobacterium sp001667505, 95.0, 79.59, 0.492; GCF_001494595.1, s__Mycobacterium sp001494595, 95.0, 79.56, 0.513; GCF_000295855.1, s__Mycobacterium fortuitum, 95.0, 79.55, 0.446; GCF_000328565.1, s__Mycobacterium sp000328565, 95.0, 79.51, 0.482; GCF_003201655.1, s__Mycobacterium moriokaense_A, 95.0, 79.5, 0.431; GCF_000373905.1, s__Mycobacterium sp000373905, 95.0, 79.47, 0.344; GCF_000691525.1, s__Mycobacterium neoaurum, 95.0, 79.4, 0.446; GCF_900240945.1, s__Mycobacterium sp900240945, 95.0, 79.37, 0.559; GCF_010726765.1, s__Mycobacterium gallinarum, 95.0, 79.29, 0.462; GCF_009729415.1, s__Mycobacterium sp009729415, 95.0, 79.28, 0.415	52.32	11	0.99737	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brown_N.bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__KBS-83;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__KBS-83;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	84.93	11	0.9033	N/A
Brown_O.bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_B;s__	N/A	N/A	N/A	N/A	N/A	GCF_013410065.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_B;s__Granulicella_B arctica	79.41	0.36	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_B;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	50.14	11	0.96258	N/A
Brown_O.bin.3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__B-17BO;g__PALSA-968;s__	N/A	N/A	N/A	N/A	N/A	GCA_903923915.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__B-17BO;g__PALSA-968;s__PALSA-968 sp903923915	81.56	0.57	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__B-17BO;g__PALSA-968;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_013287545.1, s__PALSA-968 sp013287545, 95.0, 79.97, 0.352; GCA_013288015.1, s__PALSA-968 sp013288015, 95.0, 78.99, 0.422; GCA_903970545.1, s__PALSA-968 sp903970545, 95.0, 78.68, 0.336; GCA_003153315.1, s__PALSA-968 sp003153315, 95.0, 78.48, 0.422	43.05	11	0.984	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brown_P.bin.1	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__	N/A	N/A	N/A	N/A	N/A	GCA_018268605.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__VAYN01 sp018268605	84.76	0.587	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_018268575.1, s__VAYN01 sp018268575, 95.0, 85.76, 0.656; GCA_018268675.1, s__VAYN01 sp018268675, 95.0, 85.07, 0.69; GCA_018268415.1, s__VAYN01 sp018268415, 95.0, 84.68, 0.671; GCA_013821475.1, s__VAYN01 sp013821475, 95.0, 82.72, 0.495; GCA_017882505.1, s__VAYN01 sp017882505, 95.0, 82.66, 0.506; GCA_016649905.1, s__VAYN01 sp016649905, 95.0, 82.57, 0.489; GCA_018268655.1, s__VAYN01 sp018268655, 95.0, 81.81, 0.53; GCA_005885405.1, s__VAYN01 sp005885405, 95.0, 81.66, 0.502	74.21	11	0.98126	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brown_P.bin.10	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Kineosporiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Kineosporiaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	80.74	11	0.85187	N/A
Brown_P.bin.2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rudaea;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rudaea;s__	ANI	classification based on placement in class-level tree	GCA_018969845.1, s__Rudaea sp018969845, 95.0, 77.44, 0.325; GCA_018240565.1, s__Rudaea sp018240565, 95.0, 77.43, 0.262; GCA_005877675.1, s__Rudaea sp005877675, 95.0, 77.43, 0.22; GCA_018240765.1, s__Rudaea sp018240765, 95.0, 77.39, 0.29; GCF_005503555.1, s__Rudaea sp005503555, 95.0, 77.39, 0.274; GCA_018240465.1, s__Rudaea sp018240465, 95.0, 77.34, 0.227; GCA_018241165.1, s__Rudaea sp018241165, 95.0, 77.26, 0.307; GCF_000378125.1, s__Rudaea cellulosilytica, 95.0, 77.19, 0.235; GCA_018240505.1, s__Rudaea sp018240505, 95.0, 76.83, 0.215; GCA_018240545.1, s__Rudaea sp018240545, 95.0, 76.59, 0.228	90.33	11	0.90898	N/A
Brown_P.bin.3	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__EW11;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__EW11;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	45.71	11	0.94132	N/A
